ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(scheduled);Silo ID
Cr20;2024-03-04 00:00:00;;Corn;616198.1;Sil4
Cr15;2024-03-04 00:00:00;;Rice;444927.2;Sil15
Cr7;2024-03-04 00:00:00;;Rice;767540.7;Sil1
Cr19;2024-03-04 00:00:00;;Other;826601.3;Sil13
Cr3;2024-03-04 00:00:00;;Wheat;437368.7;Sil10
Cr10;2024-03-04 00:00:00;;Corn;509761.0;Sil16
Cr8;2024-03-04 00:00:00;;Rice;603551.0;Sil2
Cr18;2024-03-04 00:00:00;;Other;705467.7;Sil11
Cr14;2024-03-04 00:00:00;;Rice;506542.5;Sil17
Cr11;2024-03-04 00:00:00;;Other;602705.3;Sil19
Cr6;2024-03-04 00:00:00;;Corn;507211.1;Sil7
Cr16;2024-03-04 00:00:00;;Corn;741161.8;Sil5
Cr13;2024-03-04 00:00:00;;Rice;841564.6;Sil9
Cr2;2024-03-04 00:00:00;;Wheat;405789.7;Sil12
Cr9;2024-03-04 00:00:00;;Wheat;795368.3;Sil3
Cr12;2024-03-04 00:00:00;;Other;537231.7;Sil6
Cr4;2024-03-04 00:00:00;;Other;811389.5;Sil8
Cr17;2024-03-04 00:00:00;;Wheat;823773.8;Sil20
Cr5;2024-03-04 00:00:00;;Corn;654998.6;Sil18
Cr1;2024-03-04 00:00:00;;Rice;581105.8;Sil14
